date,messages,input_tokens,output_tokens,cache_read,cache_written,cost_usd_equiv,cost_partial
2026-05-07,360,451,233666,34980633,551830,18.128419,false
2026-05-08,109,147,65118,9545896,469108,5.600135,false
2026-05-09,29,71,98367,2227520,327775,3.373130,false
2026-05-10,19,43,28036,1212450,344559,2.076500,false
2026-05-11,179,525,427958,25150172,1834755,31.168655,false
2026-05-14,187,8714,258651,36277978,1222322,31.589094,false
2026-05-15,284,405,284624,37368449,1950518,31.514959,false
2026-05-16,121,2387,156886,16161408,1395574,17.275402,false
2026-05-18,11,22,27854,3809716,400528,5.104618,false
2026-05-19,248,370,486162,51046604,2907400,51.701755,false
2026-05-20,213,14230,202964,32241480,2202600,31.509881,false
2026-05-21,92,184,162491,24103633,1066641,22.781518,false
2026-05-22,142,13892,294515,31626862,2147461,33.191598,false
2026-05-24,46,71,49265,11486223,673018,10.074690,false
2026-05-28,38,126,74403,3409699,229037,4.997036,false
2026-05-29,238,3800,573877,61163871,1370958,53.516348,false
2026-05-31,177,36875,543639,14818627,1220496,28.812763,false
2026-06-01,175,28196,394765,50322556,2582258,51.310496,false
2026-06-02,35,1440,121431,10881493,1184928,15.889521,false
2026-06-03,325,52345,551732,86668259,4291646,81.935657,false
2026-06-04,474,75487,1072410,126405396,2446394,105.680346,false
2026-06-05,2,3,12695,104812,123610,1.142358,false
2026-06-06,9,3070,62980,985707,541777,5.468810,false
2026-06-07,5,139,50957,1060030,56991,2.160829,false
2026-06-09,2,12326,3525,731908,745940,5.177834,false
2026-06-10,560,51132,1094179,151142572,6237016,137.546097,false
2026-06-11,394,28500,961396,127174544,4414397,151.162651,false
2026-06-12,192,25926,496526,58105418,4107724,83.189405,false
2026-06-15,41,7712,97760,3663745,361313,6.572639,false
2026-06-16,9,147,28323,1514795,217960,2.828457,false
2026-06-17,258,34686,353735,80310763,3102420,68.562311,false
2026-06-19,89,12965,388505,38355655,6257949,68.067459,false
2026-06-21,36,7166,117815,22787923,5491303,48.695810,false
2026-06-22,45,9478,70753,17576573,839597,15.851983,false
2026-06-23,285,45447,450613,182699170,12174832,178.934845,false
2026-06-24,192,10823,219933,44187236,1490623,36.962452,false
2026-06-27,118,10751,249909,68622146,4308833,67.542759,false
2026-06-28,230,27947,487612,161937087,7975261,143.143960,false
2026-06-29,272,44731,752727,107571464,9206006,130.365099,false
2026-06-30,520,45288,987879,215039897,19524698,254.472726,false
2026-07-01,702,75359,1346914,315523169,19620475,314.439198,false
2026-07-02,52,2981,127864,21170008,1838406,40.506953,false
2026-07-03,400,17308,338891,248277992,6074929,82.552368,false
2026-07-10,248,15064,189400,71804014,1452080,19.915131,false
2026-07-11,265,20492,329314,135408565,6202588,79.171643,false
2026-07-12,46,8719,80463,11799378,944812,22.458346,false
2026-07-13,108,2280,154273,22057076,1415158,25.842386,false
2026-07-14,39,852,85447,13406520,725839,13.380189,false
2026-07-16,139,3363,263034,38842879,1989506,76.897034,false
2026-07-17,621,8244,742024,232926433,8170982,226.213497,false
2026-07-18,84,668,144074,30227479,1152780,51.847609,false
2026-07-19,28,51,28072,13798615,1021640,27.973225,false
2026-07-20,201,911,324831,73119284,3149972,128.286466,false
2026-07-21,283,528,238487,188897800,4899207,181.214617,false
2026-07-22,197,1183,224626,74363611,4448842,70.608633,false
2026-07-23,63,117,102407,17513201,304897,26.445933,false
2026-07-24,101,189,173699,31569227,611670,47.901942,false
2026-07-25,317,1035,450472,105054798,1707800,148.936248,false
2026-07-26,286,8089,331200,90577913,3246076,147.794753,false
2026-07-28,14,902,52313,1487120,131984,5.761590,false
2026-07-29,286,616,254017,56066661,2020455,70.139412,true
2026-07-30,166,323,251987,51519014,2040888,69.845872,true
2026-07-31,307,1195,347213,126595270,3273436,184.885820,false
