project,model,month,messages,input_tokens,output_tokens,cache_read,cache_written,cost_usd_equiv,cost_partial
experiment migr-test budget-armA,sonnet-4-6,2026-06,27,31,44674,1821694,72489,1.488545,false
experiment migr-test budget-armB,sonnet-4-6,2026-06,27,33,48224,1194679,40398,1.233355,false
experiment migr-test habit-armA,sonnet-4-6,2026-06,81,93,30224,5617900,77614,2.430062,false
experiment migr-test habit-armB,sonnet-4-6,2026-06,38,46,56856,2205281,59283,1.736874,false
experiment stream-test discovery,sonnet-4-6,2026-06,5,7,11116,137954,23423,0.295983,false
experiment stream-test reverse,sonnet-4-6,2026-06,8,10,21213,249189,34027,0.520583,false
experiment test2-anticipi,opus-4-8,2026-06,19,4197,42401,963265,104484,2.215667,false
experiment vague-test armA,sonnet-4-6,2026-06,47,65,48065,3717519,82877,2.147214,false
experiment vague-test armB,sonnet-4-6,2026-06,47,65,72012,3222465,139429,2.569973,false
Idee,fable-5,2026-06,43,5015,92284,3245746,337751,12.131984,false
Idee,opus-4-8,2026-06,47,1384,177866,9523648,291930,11.039957,false
Libri-Organizzazione,opus-4-7,2026-05,288,6725,769286,70486849,8461312,107.392400,false
Libri-Organizzazione,opus-4-8,2026-05,2,4,9472,130806,136406,1.154761,false
Libri-Organizzazione,sonnet-4-6,2026-05,547,4119,513517,50826749,1952749,30.285945,false
poker (Who's the Boss),opus-4-7,2026-05,376,7860,611818,97886746,4530446,92.593411,false
poker (Who's the Boss),opus-4-8,2026-05,150,29981,458523,13491806,883758,23.882371,false
poker (Who's the Boss),sonnet-4-6,2026-05,237,21033,235847,20774082,619828,12.157384,false
poker (Who's the Boss),opus-4-8,2026-06,1482,162674,2910852,562493300,33807954,566.131033,false
poker (Who's the Boss),sonnet-4-6,2026-06,61,11322,44620,7236504,144056,3.414427,false
poker (Who's the Boss),fable-5,2026-07,273,11019,456325,89366127,4135289,163.983679,false
poker (Who's the Boss),opus-4-8,2026-07,1144,44628,1703217,426567702,19512418,378.040028,false
poker (Who's the Boss),sonnet-5,2026-07,798,42534,600051,396889187,8755919,107.353213,false
poker (worktree),opus-4-7,2026-05,102,204,276793,30123186,678840,26.225188,false
poker (worktree),sonnet-4-6,2026-05,410,1434,327126,40329743,1099189,21.132074,false
progetto-15,opus-4-8,2026-05,102,3556,181927,10262001,364020,11.972080,false
progetto-15,fable-5,2026-06,73,11655,154194,29619562,2467346,68.287637,false
progetto-15,opus-4-8,2026-06,1472,164162,2448692,679387794,35398768,622.974307,false
progetto-15,fable-5,2026-07,31,8849,82424,9273266,878121,24.459468,false
progetto-15,opus-4-8,2026-07,348,44990,724754,192459058,14846685,207.365110,false
progetto-16,opus-4-8,2026-06,55,16806,308457,10939254,1698442,23.880344,false
progetto-22,opus-4-8,2026-06,34,7525,51596,2162679,73633,2.869071,false
Programmi (root),opus-4-8,2026-05,25,6890,75644,1196015,200332,3.775633,false
Programmi (root),opus-4-8,2026-06,228,37897,921413,95188266,16151356,171.764918,false
SideKick,fable-5,2026-06,57,10665,122596,13809361,825756,30.367761,false
SideKick,opus-4-8,2026-06,417,102053,1420805,125113089,5852460,135.164810,false
SideKick,fable-5,2026-07,442,3928,682482,163932166,4880368,259.100146,false
SideKick,opus-4-8,2026-07,10,19,18508,3595489,375098,4.604902,false
Studio,fable-5,2026-07,533,1975,664496,207635896,6007979,315.980184,false
Studio,opus-4-8,2026-07,315,1403,332200,166694636,6412977,131.740439,false
Studio,sonnet-5,2026-07,3,6,1497,164700,26644,0.114532,false
Text-Adventure-Engine,opus-4-7,2026-05,174,370,466353,54311569,1235975,46.541303,false
weather_report,fable-5,2026-07,61,114,156621,14433851,840736,32.775241,false
weather_report (worktree),opus-4-7,2026-05,72,127,40329,6569796,136408,5.146308,false
weather_report (worktree),sonnet-4-6,2026-05,8,10,1841,241873,15317,0.157646,false
